Label_N;COREDE;CD_GEOCMU;IDESE_2013;POUPANCA;OP_CREDITO;OBRIGACOES _RECEBIMENTO;DEP_A_VISTA_PRIV;DEP_A_VISTA_GOV;DEP_PRAZO;COOP_CRED;CEF;BANCO_COM;N_VINCULOS_EMP;DENS_DEM_HABKM2;IMPOSTOS;AREA_KM2;PIB_PERC;PIB;POPULACAO
Nova Bréscia;Vale do Taquari;4313003;0,809250451;8113117;15287324;441;1215238;474711;6856834;;;2;749;31,52171799;2950,368;102,818;21730,44;71949,489;3429
Paverama;Vale do Taquari;4314159;0,684794133;20606494;19029348;902;2603250;213163;1369254;;;2;2368;47,46804141;8230,77;171,863;14997,36;125707,853;8557
Poço das Antas;Vale do Taquari;4314753;0,78085013;;;;;;;;;;1496;30,07207234;5031,181;67,571;27901,74;58426,233;2009
Pouso Novo;Vale do Taquari;4315131;0,77917767;7425579;26815100;1677;271426;2703;4249836;;;1;357;16,82123681;1218,675;106,532;20826,52;39112,205;1722
Progresso;Vale do Taquari;4315156;0,737446334;10365992;28337025;1513;1425210;291482;8266449;;;2;891;23,87233693;2958,264;255,861;15397,7;97990,951;5703
Putinga;Vale do Taquari;4315206;0,747150317;4867572;3211407;0;1115123;188867;0;;;1;828;19,66330492;2934,93;205,052;17693,23;74576,971;4024
Relvado;Vale do Taquari;4315453;0,765276909;10519191;15907923;4983;707800;298949;4034665;;;1;269;17,2476648;1233,735;123,437;19247,49;42440,715;2078
Roca Sales;Vale do Taquari;4315800;0,763219294;42792887;77816192;13187;4830631;274916;2730414;;1;2;4825;50,45319682;20222,068;208,629;29927,16;324320,599;10689
Santa Clara do Sul;Vale do Taquari;4316758;0,765674835;12355910;40611456;5058;1985957;244972;3587951;;;2;3818;68,23323023;10185,149;86,644;26548,6;161096,882;6358
Sério;Vale do Taquari;4320453;0,677058606;;;;;;;;;;238;21,90169332;848,446;99,627;15462,29;35207,633;2214
Tabaí;Vale do Taquari;4320859;0,741002859;;;;;;;;;;1037;44,99018511;3142,516;94,754;15338,13;67257,688;4220
Taquari;Vale do Taquari;4321303;0,720200197;73693246;150040412;17100;13371828;173253;12855658;;1;3;7565;74,72418828;56162,555;349,967;20632,59;557884,479;26537
Teutônia;Vale do Taquari;4321451;0,80887004;116082914;318460885;29607;21679588;205851;47323216;1;1;3;17371;160,5177631;110453,409;178,46;32546,29;957219,003;30090
Travesseiro;Vale do Taquari;4321626;0,783297894;;;;;;;;;;715;28,53726486;1798,408;81,122;22984,73;54864,542;2454
Vespasiano Correa;Vale do Taquari;4322855;0,771228544;;;;;;;;;;428;16,94677133;2319,553;113,886;25795,86;51514,34;1899
Westfalia;Vale do Taquari;4323770;0,809757865;;;;;;;;;;1886;44,43888872;10380,091;63,998;35743,98;104551,143;3102
